"estado";"cidade";"bairro";"cep";"logradouro";"latitude";"longitude";"altitude";"ddd";"cod_IBGE"
"RJ";"Niterói";"Cantagalo";"24310620";"Rua Manoel Pacheco de Carvalho";-22,9421902;-43,0546672;12,3;21;"3303302"
"RJ";"Niterói";"Largo da Batalha";"24315215";"Rua Comandante Minervino";-22,9057046;-43,0692625;110,8;21;"3303302"
"RJ";"Niterói";"Sapê";"24315375";"Estrada Washington Luís";-22,8978838;-43,0602961;105,5;21;"3303302"
"RJ";"Niterói";"Badu";"24320050";"Rua Carvalho Paiva";-22,906881;-43,0453623;131,5;21;"3303302"
"RJ";"Niterói";"Badu";"24320570";"Estrada Caetano Monteiro";-22,8952902;-43,0385015;49,6;21;"3303302"
"RJ";"Niterói";"Badu";"24320970";"Estrada Caetano Monteiro 701 Loja 102";-22,9063219;-43,0560417;100,5;21;"3303302"
"RJ";"Niterói";"Vila Progresso";"24322000";"Rua Chile";-22,8961998;-43,0364129;69,2;21;"3303302"
"RJ";"Niterói";"Mata Paca";"24322095";"Rua Paul Gauguin";-22,8904056;-43,0298962;50,9;21;"3303302"
"RJ";"Niterói";"Vila Progresso";"24322140";"Rua Le Corbusier";-22,8883918;-43,026912;61,9;21;"3303302"
"RJ";"Niterói";"Badu";"24322310";"Rua Carolina Alves";-22,9090366;-43,0603762;116,4;21;"3303302"
"RJ";"Niterói";"Vila Progresso";"24322385";"Avenida Nelson de Oliveira e Silva";-22,8996793;-43,0378317;55,4;21;"3303302"
"RJ";"Niterói";"Maria Paula";"24325330";"Estrada Velha de Maricá";-22,8762548;-43,0330824;35,8;21;"3303302"
"RJ";"Niterói";"Rio do Ouro";"24330060";"Rua Senador Fernandes da Cunha";-22,8957892;-42,9928971;78,5;21;"3303302"
"RJ";"Niterói";"Itaipu";"24340000";"Estrada Francisco da Cruz Nunes";-22,9400617;-43,0473346;11,6;21;"3303302"
"RJ";"Niterói";"Itaipu";"24340105";"Avenida Central Ewerton Xavier";-22,929466;-43,0149078;24;21;"3303302"
"RJ";"Niterói";"Maravista";"24342410";"Rua Astor da Costa Menezes";-22,9380065;-43,0323624;23,3;21;"3303302"
"RJ";"Niterói";"Serra Grande";"24342665";"Rua Quarenta e Um";-22,931858;-43,0219603;32,8;21;"3303302"
"RJ";"Niterói";"Engenho do Mato";"24344125";"Rua Doutor João Baptista Leal";-22,9452304;-43,0166762;36,2;21;"3303302"
"RJ";"Niterói";"Camboinhas";"24346030";"Avenida Doutor Geraldo de Melo Ourivio";-22,9581423;-43,0617123;13,5;21;"3303302"
